"Name","Botanical_Name","System_Affected","Properties","Description","Origin","Notes","Toxicity","Dosage","Type"
"Kidneyweed, Texas","","kidney","kidney","","","","","","Herb"
"Gumweed","","organs, lung","kidney, liver¤lungs","","","","","","Herb"
"Sausage Tree","","kidney, stomach","kidney¤stomach","","","also called: kigeli-keia","","","Herb"
"Basil","Ocimum Basilicum","kidney, expectorant, insect repellent, warts","kidney¤emphysema, expectorant¤external: insect repellent, warts","","","also called: Saint Josephwort; used in cooking","none","","Herb"
"Indian Fig","","kidney","kidney","","","","","","FruitVeggy"
"Black Spruce","","kidney","kidney","","","","","","Herb"
"Long-leaf Pine","","kidney, skin","kidney¤skin","","","","","","Herb"
"Water Pepper (Smart Weed)","","kidney","kidney","","","","","","Herb"
"Poplar, Basalm","","kidney, lung, stomach","kidney¤stomach¤lung","","","Black Poplar (Black Cottonwood) grows in Alaska","","","Herb"
"Black Currant","Ribes Nigrum","diuretic, throat, wounds, blood, ulcers, uterus","diuretic, kidney¤uterus¤hoarse throat¤reduce body heat¤wound cleansing, ulcer¤juice is antiseptic, blood purifier, anemia¤malnutrition, general debility¤restore nervous system¤MS","berries","","","none","","FruitVeggy"
"Quinine, Wild","Parthenium Integrifolium","kidney","kidney","","","","","","Herb"
"Soapberry, Wing-Leaf","","kidney","kidney","","","","","","Herb"
"Pitcherplant, Yellow","Sarracenia Purpurea","kidney, liver, stomach, smallpox cure, diuretic","Yellow and normal: kidney, liver, stomach¤Normal: smallpox cure/preventative¤constipation, dyspepsia¤laxative, diuretic","root of plant","","","","1oz/1pint hot water, taken as 1tbl-1/2cup 2Xs/day","Herb"
"Flower Of Stone","","kidney","kidney","","","","","","Herb"
"Goldenrod","Solidago Virgaurea","kidney, bladder, kidney stones, anti-inflammatory","kidney, diuretic-antiseptic, nephritis, bladder¤kidney stones¤anti-inflammatory¤urogenital disorders, yeast infections","","","also called: ragwort","","","Herb"
"Horsesugar","","kidney","kidney","","","","","","Herb"
"Foamflower","","kidney","kidney","","","","","","Herb"
"Sacramento Burrbark","","kidney","kidney","","","","","","Herb"
"Cow Parsley (Smyrnium)","","knee","knee","","","","","","Herb"
"Nightshade, Climbing","Solanum","leg, mouth, nose, skin","leg¤mouth¤nose¤skin","","","also called: bittersweet","","","Herb"
"Piper Tutuilae","Piper Tutuilae","limb","limb","","","","","","Herb"
"Chitrabeez(Tikiokra, Thuiak)","","lip","lip","","","","","","Herb"
"Bayberry","Myrica Pensylvanica","mouth, diarrhea, hemorrhages","mouth¤root bark: astringent action.¤diarrhea, hemorrhages¤soothes throat as a gargle¤wax-covered berries make aromatic candles and soap","shrub","Maritimes","also called: tallow shrub, waxberry, wax myrtle","","","Herb"
"Wood Sorrel (Kihikihi)","","mouth","mouth","","","","","","Herb"
"Kou","","muscle","muscle","","","","","","Herb"
"Premna Gaudichaudii","Premna Gaudichaudii","muscle","muscle","","","","","","Herb"
"Eastern Hop-Hornbeam","","neck","neck","","","","","","Herb"
"African Bread Tree","","neck","neck","","","","","","Herb"
"Milk Purselane (black scourge)","","nipple","nipple","","","","","","Herb"
"Nipplewort","","nipple","nipple","","","","","","Herb"
"Kedychium Coronarium","Kedychium Coronarium","nostrils","nostrils","","","","","","Herb"
"Bloodleaf","","ovary","ovary","","","","","","Herb"
"Phyllanthus Muellerianus","Phyllanthus Muellerianus","pelvis","pelvis","","","","","","Herb"
"Wild Coffee","Psychotria Olivacea","penis","penis","","","","","","Herb"
"Horse Chestnut","Aesculus Hippocastanum","Rectum, increased blood flow, hemorrhoids","rectum, hemorrhoids (internally or externally)¤increase blood flow through body (especially legs)¤varicose veins, wrinkles (may be applied externally)","","","inedible; use standardized extracts","internally may cause some constipation","","Herb"
"Cut-leaf Ground-Cherry","","rectum, stomach, throat","rectum, stomach¤throat","","","","","","Herb"
"Pterocarpus(Erinaceus,Indicus)","Pterocarpus, various species","scalp, vagina","Erinaceus:scalp¤Indicus: Vagina","","","","","","Herb"
"Hop Bush","","shoulder","shoulder","","","","","","Herb"
"Grand Fir","","side, skin, stomach","side aches, skin¤stomach","","","","","","Herb"
"Sedge, Nut or Umbrella","","side","side aches¤Nut: Amenorrhea","","","","","","Herb"
"Snapdragon, Garden","","liver","liver","","","","","","Herb"
"Bearsfoot, American (Uvedalia)","Polymnia Uvedalia","glands, liver/spleen, dyspepsia, hair","stimulate glands, glands inflamation due to liver¤laxative¤good for liver & spleen congestive¤dyspepsia from liver disease¤hair tonic (apply to scalp, w/ or w/out lanolin)","root of the herb","","","","","Herb"
"Boxwood (Flowering Dogwood)","Buxus Sempervirens","blood, liver, malaria","blood purifier, liver, liver jaundice¤general weakness¤malaria","leaves used in powdered form","","Box Leaves; taken as a tea","excess doses can be poisonous","","Herb"
"Rosette Grass","","liver, spleen","liver, spleen","","","","","","Herb"
"Spindle Tree","","liver, uterus","liver¤uterus","","","","","","Herb"
"Fumitory","Fumaria, various species","liver, stomach, skin, psoriasis","liver, stomach¤skin¤¤External (brew strong tea and apply to affected area): ¤psoriasis","","","","","","Herb"
"Liverwort","Hepatica Acutiloba","liver, gallbladder, kidney, bladder","liver, gallbladder¤kidneys, bladder¤stops gastric bleeding","use leaves and flowers","North America","","","use as a tea","Herb"
"Black-Eyed Susan","Rudbeckia, various species","immune stimulant, HIV, snakebite, worms","immune stimulant (better than echinacea)¤HIV¤worms, earache¤snakebite","root of flower","","Maryland state flower","","","Herb"
"Flaxweed(Pennywort),Fairyflax","","liver","liver","","","","","","Herb"
"Marvel Of Peru","","liver","liver","","","","","","Herb"
"Chamber Bitter","","liver","liver","","","","","","Herb"
"Radish","Raphanus Sativus","liver, lungs, thyroid","liver¤lungs¤hyperthyroidism, hypothyroidism","","","","none","","FruitVeggy"
"Cup Plant, Indian","","liver, spleen","liver, spleen","","","also called: indian gum, ragged cup","","","Herb"
"Queen's Delight (Yaw Root)","Stillingia Sylvatica Linne, Euphorbiacae","liver, skin, syphilis, cough, relaxant","blood pruifier for syphilis & scrofula (inflamation of ¤skin, joints, mucous membranes)¤Cough, laryngitis, eczema, relaxant¤With Indian Tobacco for bronchitis¤Laxative, diuretic","warm climate perennial","S.E. USA","","","1/8oz powdered root per day","Herb"
"Portia Tree","","liver, stomach, skin, testicle","liver, stomach¤skin¤testicle","","","also called: Pacific Rosewood, milo","","","Herb"
"Shi Hu or Dendrobium","","voice","voice","","","","","","Herb"
"Tapioca","","testicle","testicle","","","","","","Herb"
"Charcoal Tree","","testicle, throat","testicle, throat","","","Also called: Indian Nettle Tree","","","Herb"
"European Silver Fir","","lungs","lungs","","","","","","Herb"
"Burdock, Lesser","","lungs","lungs","","","","","","Herb"
"Orache","","lungs","lungs","","","","","","Herb"
"Bugbane","","lungs, skin","lungs¤skin","","","","","","Herb"
"Scouring Rush","","lungs","lungs","","","","","","Herb"
"Asafetida","Umbelliferae, Ferula Foetida Regel","colic,stomach,expectorant,diuretic,worms, brain","colic in infants (excessive stomach air); enema for ¤infants.¤prevents miscarriage, stimulates ovarian activity.¤stimulant for brain, nervous system.¤expectorant, diuretic, stimulates persperation & and ¤menstrual flow, tonic, laxative.¤aphrodisiac, expells intestinal worms¤ciculation, raises blood pressure","gum resin of the rhizome","Persia, Afghanistan, India","Also called: Devil' Dung, Food Of The Gods","","","Herb"
"Common Sand Aster","","lungs, skin","lungs¤skin","","","","","","Herb"
"White Cheesebush","","lungs","lungs","","","","","","Herb"
"White Leadtree","","lungs","lungs","","","","","","Herb"
"Loblolly Pine","","lungs, skin","lungs¤skin","","","","","","Herb"
"Compass Plant","Silphium Laciniatum","lung, diuretic, emetic, coughs, gonorrhea","lungs, coughs, asthma¤gonorrhea¤general tonic¤emetic, diuretic","","North America","","","","Herb"
"Comfrey (Slippery Root)","Symphytum Officinale","pulminary,lymph,wounds,sores,healing,dandruff","pulminary & Lymphatic gland disease,tuberculosis¤sores,rectal itch,wounds,bone,hemorrhoid,gout¤gangrene,burn,protein¤female debility,skin protection¤kidney stone,anemia,bloody urine¤leucorrhea,calcium deficiency¤colds,cough,asthma,tonsil¤diarrhea,stomach condition,gastric & duodenal ulcer¤arthritis,gall,liver¤body cleanser¤eye injury¤headache, breast¤vaginal dryness","roots & leaves of herb","Russia, Europe, USA","also called: Healing Herb, Gum plant","do not injest, toxic to liver","","Herb"
"Capote","","lungs","lungs","","","","","","Herb"
"Xyris Ambigua","","lungs","lungs","","","","","","Herb"
"Candlenut Tree","","womb","womb","","","","","","Herb"
"Jimsonweed (Thornapple, Stramonium)","Datura Stramonium","skin, womb, cough, sores","skin¤womb¤spasmodic coughing, bronchial asthma¤External use (safe): place tea-soaked cloth on sore to ¤relieve pain","","","leaves steeped in water said to induce delirium","possible braindamage/death in large dose","","Herb"
"Indigo, Wild","Baptisia Tinctoria","womb, insect bites and stings, antiseptic","womb¤insect bites and stings (rub on externally)¤Roots: antiseptic, bacterial infections of mouth, throat, ¤respiratory system, and skin","","","","","","Herb"
"Yellow Llima","","skin, womb","","","","","","","Herb"
"Virginia Crownbeard","","womb","womb","","","","","","Herb"
"Subalpine Fir","","skin","skin","","","","","","Herb"
"Turtleweed","","skin","skin","","","","","","Herb"
"Birch (European, White)","Betula, various species","skin, astringent. gonorrhea, bladder","a bitter: increase tone of gastro-intestinal mucous ¤membrane¤astringent: arrests fluid discharge¤from bark (volatile oil Oleum Rusci or Oleum Betulinum): ¤gonorrhea, skin diseases, eczema, itching, bladder, warts ¤(apply direct); natural source of aspirin¤from leaves: stomach and intestines; European- kidney and ¤urinary infections","","","","","","Herb"
"Turnip","","skin, body odor","skin¤Turnip juice: rub into armpits to control body odor for up ¤to 10 hours","","","","none","","FruitVeggy"
"Dogtail","","skin","skin","","","","","","Herb"
"Maunaloa","","skin","skin","","","","","","Herb"
"Catalpa, Southern","","skin","skin","","","","","","Herb"
"Bittersweet (Faleonwort)","Solanum Dulcamara","skin, lymphatic gland diseases, rheumatism","swelling, inflamation, eruptions, rheumatism¤abscesses due to tubercular diseases of lymphatic glands","","","also called: Woody Nightshade","","","Herb"
"Flowering Ash (Fringetree)","","skin","skin","","","","","","Herb"
"Cucumber","Cucumis Sativus","skin, burns","skin, burns, wrinkles, dermatitis¤moisturizer","","","","none","","FruitVeggy"
"Frostweed","","skin","skin","","","","","","Herb"
"Scorpion's Tail","","skin","skin","","","","","","Herb"
"Hoary Pea","","spleen","spleen","","","","","","Herb"
"Takafalu","","skin, tongue","skin¤tongue","","","","","","Herb"
"Mountain Mint","Pycnanthemum Muticum","Insect repellent","Insect repellent (rub externally)¤Lyme disease(via external tick repellent)¤Pain (make tea then use spent leaves as poultice on ¤painful area)¤Scabies (via mites)","weedy 3ft tall","","","Avoid during Pregnancy","","Herb"
"Gajapipal (Bari-Pipli)","","teeth","teeth","","","","","","Herb"
"Pepperbush","","urethra","urethra","","","","","","Herb"
"Storksbill (Filaree)","","uterus","uterus","","","","","","Herb"
"Fivefinger (Five-Leaf Grass)","","uterus","uterus","","","","","","Herb"
"Tansy (Yellow Cedar)","Tanacetum Vulgare","skin, memstrual, worms, heart, urine, veins,kidney","skin (pimples, freckles, sunburn, inflamation), mouth & ¤body ulcers¤Heart palpitations, back & loins pain¤Promotes menstrual flow (will cause miscarriage or ¤abortion in pregnant women)¤Abdominal worms¤Slow & painful urine discharge¤Tonic if taken cold, digestion¤Strengthen weak veins & kidneys¤migraines¤¤Applied directly: lice, scabies, warts¤¤Dose for oil is 1-3 drops","leaves & flowers of herb","Europe, U.S.","also called: Arbor Vitae, tree of life","overdose may be fatal","tea: 1oz herb in 1pint hot water, 2 tbl at a time","Herb"
"Hedge Flower(Talatala,Lantana)","","skin","skin","","","","","","Herb"
"Lion's Tail","","skin","skin","","","","","","Herb"
"Trefoil (Buckbean, Curd Herb)","Trigonella Caerulea","skin, stomach","skin¤stomach","near relative to Fenugreek","Switzerland","used in cooking","","","Herb"
"Oswego Tea","","skin","skin","","","","","","Herb"
"Horseradish Tree","","skin","skin","","","Also called: Oil Of Ben Tree","","","Herb"
"Peruvian Balsam","","skin","skin","","","","","","Herb"
"Oleander","Thevetia Neriifolia, Thevetia Peruviana","heart, skin","skin¤Source of cardiac glycosides ueds for heart patients ¤intolerant of digitalis","","","","Flowers are poisonous if ingested","","Herb"
"Amur Corktree","","skin","skin","","","","","","Herb"
"Pokeweed (Pokeroot)","Phytolacca Americana","skin, ulcers, rheumatism, arthritis, lungs","skin¤cancerous ulcers, rheumatism, arthritis, respiratory ¤infections","","","use young unfolded leaves (older ones poisonous)","Avoid during Pregnancy","","Herb"
"Shore Pine (Lodgepole Pine)","","skin","skin","","","","","","Herb"
"Leadwort","Plumbago Zeylanica","skin, leprosy, worms, antifungal, antimicrobial","source of Plumbagin¤abdominal tumors, warts, parasitic skin infections, leprosy¤worms¤reduce tumor growth¤antimicrobial, antifungal¤used to induce abortions.","white flowers","India, Africa","","poisonous if ingested","","Herb"
"Peach","Prunus Persica","skin, morning sickness","skin¤¤As a tea (made w/ leaves & bark): morning sickness","","","","none","","FruitVeggy"
"Soapwort (Bouncing Bett)","Saponaria Officinalis","skin, respiratory, laryngitis, poisonous rash","good for skin¤expectorant¤respiratory, bronchitis, laryngitis¤External, juice of plant: prevents rash from poisonous ¤plants","","","","","","Herb"
"Figwort (Throatwort; Heal-All)","Scrophularia Nodosa","skin, wounds, diuretic, healing, pain","Skin eruptions, wounds, abscesses, cleansing effect, pain ¤remover (apply leaves as poltice to wound).¤Diuretic (taken internally)¤Makes a healing tea","","","Also called Carpenter's Square","none","tea: 1oz to 1qt boiling water, 1/4 cup 2Xs/day","Herb"
"African Tulip Tree","","skin, stomach","skin¤stomach","","","","","","Herb"
"Blueflower","","skin, stomach","skin¤stomach","","","","","","Herb"
"Benzoin (Benjamin Tree)","Styrax Benzoin, Styrax Tonkinensis","expectorant, lungs, wounds,skin,antiseptic","internally:  expel mucus from throat/lings, stimulating ¤expectorant, coughs, bronchitis¤Externally:  applied to wounds, sores of tissues, sores, ¤skin; antiseptic","powder F/sap","","made as a tincture: dissolved in alcohol","","","Herb"
"White Violet","","skin","skin","","","","","","Herb"
"Heartease (Johnny Jump Up)","Viola Tricolor","skin, heart relief, dropsy, respiratory","heart relief¤dropsy, respiratory catarrh¤skin eruptions","flowers","England","flowers are edible","none","","Herb"
"Yellow Eyed Grass","","skin","skin","","","","","","Herb"
"Herb Robert","Geranium Robertianum","throat, cancer","throat¤The tea is recommended as part of a fresh vegetable juice ¤diet devised to combat cancer.","lacy foliage w/purple flowers","","","none","used as a tea","Herb"
"Balloon Flower","Platycodon Grandiflorum","throat","coughs, expectorant, sore throat","roots of blue flowers","Orient","","","","Herb"
"Shrub Yellowroot","","throat, stomach","throat¤stomach","","","","","","Herb"
"Wheat","Triticum Aestivum","constipation","diverticulitis, constipation","a grain","anywhere","","none","","Herb"
"Birthwort","Aristolochia Longa","glands, blood circulation, gout, rheumatism","relief of rheumatism & gout¤stimulation of glands & blood circulation","powdered root","","","none","","Herb"
"Bud Sagebrush","","stomach","stomach","","","","","","Herb"
"Lacy Spleenwort","","stomach","stomach, spleen","","","","","","Herb"
"Perfume Tree","","stomach","stomach","","","","","","Herb"
"Beth Root (Lamb's Quarters)","Trillium Pendulum, Trillium Erectum","stringent, chest, muscle,lung, leucorrhea, enema","astringent for secretions of mucous membrane¤chest, coughs¤restores normal function of nutrition & excretion¤muscle tonic¤internal bleeding, profuse menstruation¤lung, pulmonary¤enemas for rectal irrigation & femal organs¤Leucorrhea (whitish viscous discharge from vagina & ¤uterine cavity)","","North America","alco called: Red Trillium, Birthroot, Wakerobin","none","use as tea or poltice","Herb"
"Arrach (Goosefoot)","Chenopodium Olidum","nerves, menstrual","nerve sedative; hysteria, high nerve tension.¤stimulation of menstrual function due to obstructions in ¤flow","","","Also called: wormseed, Jesuit Tea, Jerusalem Oak","","1oz powdered to 1pt boiling water, 2-3 cups/day","Herb"
"Job's Tears","","stomach","stomach","","","","","","Herb"
"Tiplant","","stomach","stomach","","","","","","Herb"
"Oysterwood","","stomach","stomach","","","","","","Herb"
"Hawaii Wood-Nettle","","stomach","stomach","","","","","","Herb"
"Bladder Desert-Parsley","","stomach","stomach","","","","","","Herb"
"Loupata","","stomach","stomach","","","","","","Herb"
"Mariola","","stomach","stomach","","","","","","Herb"
"Lady's Thumb","","stomach","stomach","","","","","","Herb"
"Brake Root (Polypody Root)","","stomach","stomach","","","","","","Herb"
"Tava","","stomach","stomach","","","","","","Herb"
"Acorn","Quercus Robur","diarrhea","diarrhea: contract & harden tissues & limit secretion ¤action by glands.","a nut","oak tree","grind into powder, mix w/ water","none","","Herb"
"Adder's Tongue","Erythronium Americanum, Ophioglossum Vulgatum","emetic, emollient, scurvy, tuberculosis, dropsy","emetic: causes vomiting when swallowed (as a tea)¤on tissue: emollient (soothes, softens)- brused leaves ¤applied directly.¤tuberculosis, diseased glands, scurvy.¤hiccups, dropsy(fluid accumulation in body cavities)¤bleeding at mouth & nose","lily; leaves & bulb used","United States","also called: serpent's tongue, rattlesnake violet","induces vomiting if too much taken","","Herb"
"Adrue (Guinea Rush)","Cyperus Articulatus","reduces vomiting, sedative","reduces desire for vomiting (from pregnancy or bad ¤digestion(dyspepsia)), acts as sedative, spreads feeling ¤of warmth through system","","","part used: it's aroma","none","","Herb"
"Agar (Vegetable Gelatin)","Gelidium Amansii, Gelidium Corneum","constipation, soothing","soothing, relieves inflamation.¤releaves constipation","algae found along Pacific Rim","","used as a gel made with water","none","","Herb"
"Agaric","Polyporus Officinalis, Boletus Laricis","astringent, purgative, diarrhea","limits secretions of mucous membranes & glands; astringent¤  Internally: cleansing upon bowels; small dose=stringent; ¤medium dose (3 grains)=persperation, diarrhea, checking ¤milk secretion; large dose = purgative","","","","too much = flushing of bowels","","Herb"
"Alkanet (Bugloss, Anchusa)","Alkanna Tinctoria, Lithospermum Tinctorium,Anchusa Tinctoria","emollient, astringent, worms, back pain","externally(powder w/ vaseline): emollient, ointment for ¤back pains & bruises¤astringent, ceases flow of body liquids¤Internally (powder mixed w/ hot water): destroys body worms","root","","","","1/2 tsp to 1 cup hot water","Herb"
"All-Heal (Wound-Wort)","Prunella Vulgaris","antiseptic, worms, bites, muscle spasm, menstrual","antiseptic, muscle spasms¤destroys body worms¤treatment of dog/animal bites¤delay start of menstrual period","","Europe","","","tea: 5drops to 1/2 glass hot water","Herb"
"Alstonia Bark","Alstonia Constricta","fever, rheumatism","reduces fever¤rheumatism","","Australian","taken as a tea;  Also called Australian Quinine","","","Herb"
"Ammoniacum","Dorema Ammoniacum","stimulant, bronchial","stimulant¤clearing bronchial passages; antispasmodic","gum resin","","","","","Herb"
"Angustura (Cusparia Bark)","Cusparia Febrifuga,Galipea Officinalis,Bonplandia Trifoliata","tonic, diarrhea, water accumulation, fever","aromatic plant¤stimulants body activity, tonic¤diarrhea, fevers¤water accumulation in tissues & cavities","bark of tree","Venezuela","","larger doses = vomit, watery bowels","5-15 grains powdered bark","Herb"
"Arrowroot","Maranta Arundincea","nutritive drink. mucous membranes","nutritive drink for infants & convalescents.¤soothing & softening effect on mucous membranes¤Externally in powder form: athlete's foot, anti-fungal","powdered root","","used as starch for cooking","none","","Herb"
"Asarabacca(Hazelwort,Wildnard)","Asarum Europaeum","vomiting, purgative","induces vomiting (1-2 7-grain tablets)¤watery purgative of intestines (5-10 7-grain tablets)","","","","","","Herb"
"Ash, Common (European)","Fraxinus Excelsior","laxative, fever, joint inflamation","laxative in small quantities (<= 10 grains), purgative for ¤larger doses (20-30)¤fevers (bark steeped in hot water)¤inflamation in joints","bark & leaves of tree","","","","","Herb"
"Azadirachta","Melia Azadirachta","worms, purgative, vomiting","expells intestinal worms, purgative, vomiting","","","","","","Herb"
"Bael","Aegle Marmelos","diarrhea, glands, mucous membranes","contracts tissues & reduces flow of liquid from glands.¤diarrhea, non-constipation¤inflamation of mucous membranes w/ ulcers","","","","","","Herb"
"Balm(Sweet, Lemon, Garden)","Melissa Officinalis","fever, persperation, bites, nerves, boils, herpes","makes persperation (diaphoretic)¤feverish colds, astringent for mucous membranes, relieves ¤headache¤taken cold relieves fever, taken hot makes perseration¤calms nerves¤menstration, organs¤boils (as poltice soaked overnight), insect stings, dog ¤bites,toothache¤Lemon (Melissa): genital herpes, hyperthyroidism, ¤hypothyroidism, migraine, insomnia, shingles, antiviral","dried leaves of small tree","S.Europe,US, MidEast,N.Africa","taken as a tea","none","","Herb"
"Balm Of Gilead, American","Populus Candicans","stimulant, nutritive, skin, gout, chest, colds","stimulates body organs¤nutritive¤chest, lung, stomach, kidney¤when mixed w/ vaseline & used as rub: colds & chest pains, ¤skin diseases, bruises, swellings, gout, rheumatism","powdered buds","","","none","","Herb"
"Balmony(Bitterhead, Snakehead)","Chelone Glabra","worms, cleanser, liver, tissue tonic, vomiting","tonic for tissues¤intestinal worms (especially in children)¤cleanses¤antibilious: remedy for disordered liver, headache, ¤appetite, vomiting of bile.¤constipation, piles, indigestion","","","also called: Turtlehead","none","","Herb"
"Benne","Sesamum Indicum","laxative/diarrhea,lungs,eyes,menstrual,eye,skin","oil =laxative; leaves = combat diarrhea, dusentery.¤relievces catarrhal conditions, lungs, bronchial¤emphysema, asthma¤applied directly to skin sooths erupted or bruised skin¤inflamation or soreness of eye¤seeds make oil similiar to olive oil.¤oil hastens & facilitates menstrual period.","leaves & seeds of herb","","taken as a tea","","","Herb"
"Bistort (Snakeweed,Aderwort)","Polygonum Bistorta","astringent, hemorrahages, gargle","astringent, diminish fluid discharge¤hemorrhages, fluid discharge¤gargle","root of herb","","","none","","Herb"
"Bittersweet, American(Waxwork)","Celastrus Scandens","diuretic, alterative,liver,menstruation,leucorrhea","alterative: restores normal nutrition & excretion function¤diuretic, diaphoretic (increases persperation)¤liver ailments¤leucorrhea¤delayed menstruation","root and bark","","also called: false bitterswet","none","","Herb"
"Chitosan (Chitin)","","fiber source","deacetylated fiber extract used to assist weight control; ¤more soluable than normal fiber.¤not digestible, has no caloric value.","chitin extract","chitin from shellfish","","triggers shellfish allergies","","Animal"
"Black Haw(Stagbrush,Crampbark)","Caprifoliacae, Viburnum Rufidulum Rafinesque","uterus, pregnancy, menstruation, menstrual cramps","normalizes uterus, draws together soft organic tissue; ¤painful menstruation, menstrual cramps¤childbirth pains, miscarriages, uterus bleeding.¤treatment/prevention of nervous diseases of pregnancy.¤encourages urine production of kidneys","bark, root, stem of small tree","","","","1tbl spoon/4hrs.Tea: 1oz bark per pint water","Herb"
"Willow Bark,Black(PussyWillow)","Salix Nigra, Salix Discolor","reproductive organs, skin","Women:  inflamed & ulcerated vaginal surfaces; mix w/ ¤water and use as douche (1oz bark w/1 pint water); relief ¤of ovarian pain (drink same)¤men used to stem nightly involuntary emissions (wet dreams)¤Both: sexual sedative where there is a sexual irritation ¤of organs F/ urinary irritations¤Skin: inactive ulcers, gangrene, rheumatism, joints.","use bark & berries","Europe","","","","Herb"
"Bloodroot (Sanguinaria)","Sanguinaria Canadensis, Sanguinaria Officinalis","expectorant, throat, chest, gastric,sores,ringworm","expectorant (1/12 grain), chest diseases, bronchitis, sore ¤throat, fever, jaundice¤Inhalant¤gingivitis, gums, dental plaque¤stimulates gastric & intestinal secretions (1/20 grain)¤tooth decay¤External: surface tumors, ringworm, sores, warts","dried rhizome & root","herb F/ N. America","","inhalant: narcotic at large doses","","Herb"
"Black Bryony, Root Of","Tamus Communis, Linn","gout/skin, urination, dropsy","Brings blood to the skin (good for gout, rheumatism or ¤paralysis, discoloration due to bruises, open ulcers); rub ¤the root on desired spot on skin.¤Acts on kidneys to stimulate urination.¤Dropsy (taken internally, a few drops of the tincture with ¤a glass of water)","vine w/ heart-shaped leaves","Europe","powdered root for external, else root w/ alcohol","more than 5 drops per glass water","","Herb"
"Bugle","Ajuga Reptans","gastrointestinal, hemorrhages, astringent","stimulates gastrointestinal mucousmembrane¤astringent, contracts and hardens tissues¤stops hemorrhages¤bile disorders","","","taken as a tea","","","Herb"
"Bugleweeed (Gipsywort)","Lycopus Virginicus","sedative, astringent, coughs, tuberculosis","sedative¤mucous astringent, reduce fluid discharge¤mild narcotic¤coughs, lung bleeding (tuberculosis)¤hyperthyroidism, hypothyroidism¤heart palpitations","powdered bark","","used as a black dye","","1oz powdered bark to 1 pint hot water","Herb"
"Butterbur","Petasites Vulgaris, Tussilago, Petasites","heart muscles, stimulant, disease, stones, asthma","heart tonic¤stimulant, diuretic¤fevers, asthma, colds, contagious diease, urinary complaint¤bladder stones","root","","","none","boil 1oz in 1 pint water, take 1/2cup 3-4Xs/day","Herb"
"Calotropis","Calotropis Procera, Asclepias Procera","diarrhea/dysentery, skin, leprosy, elephantiasis","taken internally: diarrhea, dysentery¤Powdered form directly on skin: skin disease, leprosy, ¤elephantiasis, excessive skin cell tissue growth","bark from tree","India","","none","","Herb"
"Camphor (Oil Of Camphor)","Cinnamomum Camphora, Laurus Camphora, Camphora Officinarum","colds/chills, fever, gout, inflamation, bruises","Internally: colds, chills, diarrhea from colds, sedative¤pain remover, asthma spasms, increased persperation, ¤reduce fever.¤intestinal worms¤gout, rheumatism, neuralgia.¤Externally:  irritation of sexual organs, inflamation, ¤bruises, sprains","wood from a large tree","Formosa","","vomiting, convulsions, rapid heart beat","no more than 3 grains","Herb"
"Caroba (Carob Tree)","Jacaranda Procera, Jacaranda Caroba, Bignonia Caroba","system stimulant, venereal disease, epilepsy","restores normal function to processes of nutrition and ¤excretion¤venereal disease, syphilitic skin affliction¤sedative effect on nervous system, epilepsy¤diuretic, increase perspiration¤diarrhea","","","","","","Herb"
"Catechu, Black (Cutch)","Acacia Catechu, Catechu Nigrum, Uncaria Gambier","astringent, gums, sore throat, mucous membranes","astringent, excessive mucous discharges, bleeding¤chronic diarrhea, catrrh, dysentery, all diseases ¤involving mucous membrane¤1 tsp in 1 pint warm water = effective gargle for sore ¤throat¤Direct local application onto spongy gums","powdered leaves & young shoots","","","","5-15 grains","Herb"
"Chaparral","Croton Corymbulosus, Larrea Divaricata","cancer, coffee substitute, teeth, cavities","palatable drink, good coffee substitute¤Chaparral tea promising use in cancer treatment¤toothache, prevents cavities (use in mouthwash)¤potent antiseptic","flower top of herb","SW USA","","none","","Herb"
"Chaulmoogra","Taraktogenos Kurzii","sedative, fever, joints, skin","Internally: sedative, fevers¤Externally: relieves joint stiffness and eruptions of skin ¤(eczema, psoriasis, syphilis, etc.)","seeds of herb","","","","","Herb"
"Cherrylaurel","Prunus Laurocerasus","coughs, sedative, asthma, bronchial, gas","sedative, muscle relaxant, coughing, whooping cough¤asthma, bronchial affections¤stomach gas, indigestion","","","","","15-60 grains","Herb"
"Coffee","Coffea Arabica","stimulant, headaches, diuretic, rheumatism/gout","stimulant, anti-narcotic, anti-emetic, fainting¤Heart stimulant, dispel drowsiness & stupor from poisoning ¤by narcotics.¤Headaches.¤prevent vomiting¤diuretic¤gout, rheumtism, bladder stones¤Asthma","coffee bean","","a popular drink","unpleasant heart symptoms","","Herb"
"Cotton Root","Gossypium Herbaceum","reproductive organs","reproductive organs, contract uterus, stimulate menstrual ¤function¤removing sexual lassitude/weariness, male fertility¤hasten childbirth¤anti-parasitic, anti-viral","bark of root","","","none","2oz powdered bark to 1 pint water","Herb"
"Couchgrass (Quackgrass)","Agropyrum Repens, Triticum Repens, Agropyron Repens","bladder/urinary, purgative, gout, rheumatism","excellent bladder/urinary complaints, stimulant for ¤kidney, urine flow, kidney stones¤soothing/softening to mucous membrane¤gout, rheumatism¤purgative¤respiratory, bronchitis, laryngitis","root of herb","","also called: twitchgrass, quickgrass","","1oz into 1pt boiling water","Herb"
